K05862	ko04020 ko04022 ko04217 ko04218 ko04613 ko04621 ko04979 ko05010 ko05012 ko05014 ko05016 ko05017 ko05020 ko05022 ko05131 ko05164 ko05166 ko05415
K02619	ko00790
K06016	ko00240
K04381	ko04010 ko05206
K02303	ko00860
K17130	ko05206
K02961	ko03010
K03036	ko03050 ko05010 ko05012 ko05014 ko05016 ko05017 ko05020 ko05022 ko05169
K15919	ko00260 ko00630
K08329	ko04138
K12612	ko03018
K04737	ko04060 ko04151 ko04210 ko04630 ko04640 ko05200
K06509	ko04115
K07202	ko04152 ko04211 ko04371 ko04714 ko04910 ko04920 ko04922 ko04931 ko05016
K05171	ko04060
K17252	ko04610
K10119	ko02010
K17002	ko05206
K12313	ko04270 ko04371 ko04926
K02452	ko03070 ko05111
K02071	ko02010
K12820	ko03040
K03651	ko00230 ko02025
K11091	ko03040
K08386	ko04080
K01148	ko03018
K09658	ko00510 ko00563
K02342	ko03030 ko03430 ko03440
K20220	ko04013
K12623	ko03018 ko03040
K13560	ko00524
K09788	ko00640
K17876	ko00999
K05090	ko04010 ko04014 ko04015 ko04060 ko04061 ko04151 ko04380 ko04640 ko05200 ko05202 ko05221
K08958	ko04340 ko04341
K07379	ko04514
K11831	ko04371 ko05016
K06637	ko04110 ko05166
K01083	ko00562
K18440	ko04144
K03908	ko04610
K05280	ko00941 ko00944
K05002	ko04713 ko04723 ko04726 ko04728 ko04915 ko04921 ko04929 ko05032
K03601	ko03430
K01923	ko00230
K06825	ko04350
K14610	ko04977
K01824	ko00100
K14582	ko00624 ko00626
K04521	ko05010
K08106	ko00532
K00093	ko00680
K12803	ko04621 ko05135
K14756	ko00040 ko00053 ko04211 ko04928 ko04961
K16249	ko00361 ko00362 ko00623
K01659	ko00640
K03110	ko02024 ko03060 ko03070
K07804	ko02020
K03342	ko00790
K12199	ko04144
K11822	ko00980 ko04976 ko05204
K16963	ko02010
K07644	ko02020
K02659	ko02020 ko02025
K04216	ko04080
K21196	ko00440
K00303	ko00260
K01345	ko04972 ko04974
K02407	ko02040
K10071	ko05167
K08642	ko02024
K08722	ko00240
K02263	ko00190 ko04260 ko04714 ko04932 ko05010 ko05012 ko05014 ko05016 ko05020 ko05022 ko05415
K08330	ko04136 ko04138 ko04139
K00619	ko00220
K14202	ko05150
K08723	ko00230 ko00240 ko00760
K20716	ko04016
K13126	ko03013 ko03015 ko03018
K04761	ko02026
K14327	ko03013 ko03015
K08598	ko04621 ko04626 ko05132 ko05135
K11459	ko04550 ko05202 ko05206
K20984	ko00999
K10016	ko02010
K12924	ko00904
K02965	ko03010
K20577	ko00524
K10846	ko03420
K03229	ko03070
K16054	ko00270
K12870	ko03040
K15843	ko05120
K05878	ko00561
K16105	ko01054
K10988	ko04068 ko05340
K04624	ko04742
K05529	ko00513
K19354	ko00540
K11098	ko03040
K06653	ko04111
K21673	ko00232
K02194	ko02010
K02338	ko03030 ko03430 ko03440
K02952	ko03010
K15294	ko04721
K12867	ko03040
K17848	ko04068 ko04144
K08339	ko04136 ko04137 ko04138 ko04140 ko04211 ko04213 ko04216 ko04621 ko04622 ko05131
K14044	ko00904
K02685	ko03030
K02734	ko03050 ko05010 ko05012 ko05014 ko05016 ko05017 ko05020 ko05022
K18461	ko04144 ko04212
K04371	ko01521 ko01522 ko01524 ko04010 ko04011 ko04012 ko04013 ko04014 ko04015 ko04022 ko04024 ko04062 ko04066 ko04068 ko04071 ko04072 ko04111 ko04114 ko04140 ko04150 ko04151 ko04210 ko04214 ko04218 ko04261 ko04270 ko04320 ko04350 ko04360 ko04370 ko04371 ko04380 ko04510 ko04520 ko04540 ko04550 ko04611 ko04613 ko04620 ko04621 ko04625 ko04650 ko04657 ko04658 ko04659 ko04660 ko04662 ko04664 ko04666 ko04668 ko04713 ko04720 ko04722 ko04723 ko04724 ko04725 ko04726 ko04730 ko04810 ko04910 ko04912 ko04914 ko04915 ko04916 ko04917 ko04919 ko04921 ko04926 ko04928 ko04929 ko04930 ko04933 ko04934 ko04935 ko04960 ko05010 ko05020 ko05022 ko05034 ko05130 ko05131 ko05132 ko05133 ko05135 ko05140 ko05142 ko05145 ko05152 ko05160 ko05161 ko05163 ko05164 ko05165 ko05166 ko05167 ko05170 ko05171 ko05200 ko05203 ko05205 ko05206 ko05210 ko05211 ko05212 ko05213 ko05214 ko05215 ko05216 ko05218 ko05219 ko05220 ko05221 ko05223 ko05224 ko05225 ko05226 ko05230 ko05231 ko05235
K13710	ko04810 ko05135
K08641	ko01502 ko02020
K07377	ko04514
K11784	ko00130
K18120	ko00650
K21125	ko04657
K15952	ko01057
K15652	ko01053
K05355	ko00900
K17835	ko00997
K18369	ko00640
K13592	ko04112
K14012	ko04141
K02460	ko03070 ko05111
K09849	ko04064 ko04217 ko04621 ko04657 ko04668 ko05131 ko05163 ko05168 ko05169 ko05170 ko05200 ko05203 ko05222
K03896	ko00997
K14309	ko03013 ko05014
K20949	ko05111
K04522	ko04330 ko04722 ko05010 ko05022
K05864	ko04217 ko04218 ko05010 ko05022 ko05131
K03175	ko04010 ko04013 ko04064 ko04120 ko04140 ko04144 ko04214 ko04380 ko04620 ko04621 ko04622 ko04657 ko04722 ko05130 ko05131 ko05132 ko05133 ko05135 ko05140 ko05142 ko05145 ko05152 ko05160 ko05161 ko05162 ko05168 ko05169 ko05170 ko05171 ko05200 ko05222 ko05235
K04541	ko04014 ko04062 ko04151 ko04371 ko04713 ko04723 ko04724 ko04725 ko04726 ko04727 ko04728 ko04926 ko05032 ko05034 ko05163 ko05167 ko05170 ko05200
K12873	ko03040
K06821	ko04360
K01212	ko00500
K14569	ko03008
K14526	ko03008 ko03013
K16020	ko01051
K10118	ko02010
K07716	ko02020 ko04112
K07046	ko00051
K10538	ko02010
K18818	ko00051
K01939	ko00230 ko00250
K17633	ko04014
K07981	ko04612 ko04650 ko05332
K14153	ko00730
K11003	ko03070 ko05133
K14596	ko00906
K04804	ko04080
K01792	ko00010
K16147	ko00500
K16620	ko04060 ko04350 ko04390 ko04913
K05172	ko04060
K12173	ko03440
K16382	ko01052
K03010	ko03020 ko05016
K02757	ko02060
K18288	ko00660
K19208	ko01052
K04092	ko00400
K03939	ko00190 ko04714 ko04723 ko04932 ko05010 ko05012 ko05014 ko05016 ko05020 ko05022 ko05415
K19212	ko01501
K19774	ko04212
K15892	ko00900
K13015	ko00520 ko00541
K16108	ko01054
K11688	ko02020
K15577	ko00910 ko02010
K10364	ko04144
K10774	ko00350
K11088	ko03040 ko04139 ko05322
K10891	ko03460
K10011	ko00520 ko01503
K14751	ko00642
K19030	ko00051 ko04152
K01968	ko00280
K19238	ko01503
K14505	ko04075
K07882	ko04721 ko04911
K05009	ko04971
K14508	ko04075
K00499	ko00260
K08743	ko00565
K13900	ko04970
K19886	ko00404
K10916	ko02020 ko02024 ko05111
K09265	ko04011
K08335	ko04138
K16834	ko04310 ko04928
K15800	ko00909
K02831	ko04111 ko04113
K05649	ko02010
K00921	ko00562 ko04070 ko04145 ko04810
K17626	ko00401
K06611	ko00052
K00051	ko00620 ko00710
K12467	ko00902
K12399	ko04142
K04524	ko04979 ko05010
K12554	ko00550
K13284	ko05100 ko05131 ko05132
K05498	ko04060 ko04913
K12742	ko00900
K13844	ko05144
K03107	ko03060
K00319	ko00680
K01117	ko00600
K13241	ko00220 ko00330 ko04020 ko04066 ko04146 ko04371 ko04926 ko05010 ko05014 ko05022 ko05133 ko05140 ko05142 ko05145 ko05146 ko05152 ko05200 ko05222
K01275	ko04142 ko04210
K19065	ko00362 ko00624
K19615	ko02020
K16304	ko00622
K12619	ko03008 ko03018
K09829	ko00100
K05399	ko04064 ko04620 ko05152
K12305	ko00230 ko00240 ko04142
K13473	ko04626
K07772	ko02020
K08524	ko03320 ko04151 ko04659 ko04919 ko04920 ko04928 ko04932 ko04976 ko05160 ko05200 ko05202 ko05216 ko05222 ko05223 ko05226
K05052	ko04080
K08712	ko02010
K14220	ko00970
K12957	ko00010 ko00281 ko00620
K06539	ko04514
K19858	ko00523
K01106	ko00562 ko04070 ko04910
K02703	ko00195
K10929	ko05110 ko05111
K20273	ko02024
K15143	ko04919
K02639	ko00195
K15569	ko00626
K18662	ko00280
K00035	ko00052
K09459	ko00440 ko00998
K01343	ko04371 ko04610 ko05202 ko05215 ko05418
K19734	ko02024
K15243	ko00361
K07466	ko03030 ko03420 ko03430 ko03440 ko03460
K12902	ko00998
K15040	ko04020 ko04022 ko04216 ko04217 ko04218 ko04613 ko04621 ko04979 ko05010 ko05012 ko05016 ko05017 ko05020 ko05022 ko05166 ko05415
K03182	ko00130
K18603	ko00720
K15774	ko00965
K11449	ko05202
K13564	ko00524
K00815	ko00130 ko00270 ko00350 ko00360 ko00400 ko00401 ko00950 ko00960
K12799	ko04217 ko04621 ko04623 ko04625 ko05130 ko05131 ko05132 ko05133 ko05134 ko05135 ko05164
K10970	ko00514
K00963	ko00040 ko00052 ko00500 ko00520 ko00541
K03100	ko03060
K07692	ko02020 ko02024
K12878	ko03013 ko03040
K21000	ko02025
K17951	ko00830
K11422	ko00310
K14626	ko01057
K11711	ko02020
K05378	ko00196
K10921	ko05111
K21069	ko00902
